freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,FC_OTH_HH_E,E7000,GWH,SK	: 	: 	: 	: 	: 	5035.000 	5097.000 	4918.000 	5095.000 	5453.000 	5874.000 	5968.000 
A,FC_OTH_HH_E,E7000,GWH,UA	: 	: 	: 	: 	: 	: 	35917.110 	35041.190 	35946.004 	35236.000 	: 	: 
A,FC_OTH_HH_E,E7000,GWH,UK	118831.953 	111586.418 	114662.625 	113412.472 	108076.100 	107763.848 	108025.043 	105367.901 	105064.547 	: 	: 	: 
A,FC_OTH_HH_E,E7000,GWH,XK	: 	: 	: 	: 	: 	: 	: 	2290.962 	2355.541 	2527.963 	2777.699 	3343.001 
A,FC_OTH_HH_E,E7000,TJ,AL	10790.820 	10571.882 	11036.876 	14641.092 	12600.004 	11665.350 	10767.348 	10564.326 	11329.114 	11232.871 	12488.684 	12616.747 
A,FC_OTH_HH_E,E7000,TJ,AT	63566.975 	62185.100 	63148.738 	63536.990 	60535.987 	61975.076 	64219.817 	64793.585 	64593.374 	66011.555 	64822.230 	73019.509 
A,FC_OTH_HH_E,E7000,TJ,BA	: 	: 	: 	: 	16574.400 	17010.000 	17042.400 	17118.000 	16866.000 	17013.596 	17262.000 	17683.200 
A,FC_OTH_HH_E,E7000,TJ,BE	: 	: 	: 	: 	: 	: 	67856.760 	66733.560 	66629.160 	66085.920 	67187.520 	69363.000 
A,FC_OTH_HH_E,E7000,TJ,BG	38012.400 	39283.200 	39016.800 	37933.200 	38124.000 	38318.400 	38638.800 	40095.137 	39466.890 	39038.011 	40882.252 	43031.858 
A,FC_OTH_HH_E,E7000,TJ,CY	: 	: 	: 	: 	: 	: 	: 	: 	6077.801 	6378.091 	6501.006 	6542.672 
A,FC_OTH_HH_E,E7000,TJ,CZ	: 	: 	: 	: 	: 	51775.200 	53766.000 	54760.676 	54178.330 	54924.602 	57501.000 	62136.004 
A,FC_OTH_HH_E,E7000,TJ,DE	510120.000 	491760.000 	493200.000 	489600.000 	466560.000 	463320.000 	461520.000 	471326.400 	460368.004 	455540.400 	458733.600 	498495.596 
A,FC_OTH_HH_E,E7000,TJ,DK	: 	: 	: 	: 	: 	36636.005 	37066.000 	35510.000 	35070.606 	36869.951 	39405.467 	38999.808 
A,FC_OTH_HH_E,E7000,TJ,EA20	: 	: 	: 	: 	: 	: 	: 	: 	2058642.657 	2050416.816 	2069423.489 	2171854.889 
A,FC_OTH_HH_E,E7000,TJ,EE	7283.840 	6963.397 	7042.608 	6714.961 	6261.293 	6221.686 	6887.779 	6985.001 	6696.493 	7451.989 	7192.800 	8024.400 
A,FC_OTH_HH_E,E7000,TJ,EL	: 	: 	: 	62806.000 	: 	63136.440 	71988.840 	70660.267 	60345.396 	62559.140 	62950.324 	63776.876 
A,FC_OTH_HH_E,E7000,TJ,ES	272442.901 	273983.676 	270315.306 	255814.572 	254554.604 	252247.020 	250731.407 	257013.372 	270020.097 	262730.123 	263604.950 	263334.938 
A,FC_OTH_HH_E,E7000,TJ,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	2541965.257 	2534444.016 	2561717.891 	2690649.729 
A,FC_OTH_HH_E,E7000,TJ,FI	: 	: 	: 	: 	: 	75304.800 	81064.800 	81043.200 	82425.600 	81165.600 	79347.600 	87339.600 
A,FC_OTH_HH_E,E7000,TJ,FR	581472.000 	532908.659 	576317.452 	605265.210 	542933.975 	566286.174 	587174.767 	580042.408 	576849.110 	574999.477 	581394.715 	611194.229 
A,FC_OTH_HH_E,E7000,TJ,GE	: 	: 	: 	: 	: 	: 	8557.016 	8859.229 	8942.400 	8859.600 	9234.000 	7341.146 
A,FC_OTH_HH_E,E7000,TJ,HR	23671.080 	23243.040 	23041.800 	22139.280 	21461.400 	22021.560 	21735.360 	22227.840 	22016.160 	22043.880 	21575.160 	23410.800 
A,FC_OTH_HH_E,E7000,TJ,HU	: 	: 	: 	: 	: 	39020.400 	39434.400 	40495.406 	40931.996 	41825.002 	44190.000 	46904.000 
A,FC_OTH_HH_E,E7000,TJ,IE	: 	: 	: 	: 	: 	28370.740 	28341.882 	28652.468 	29425.594 	29278.620 	31403.963 	31689.958 
A,FC_OTH_HH_E,E7000,TJ,IT	: 	: 	: 	: 	: 	238273.200 	231494.400 	235766.516 	234496.062 	236116.811 	238361.933 	241388.172 
A,FC_OTH_HH_E,E7000,TJ,LT	: 	: 	: 	: 	: 	: 	: 	10215.360 	10744.200 	10485.720 	10959.120 	12276.720 
A,FC_OTH_HH_E,E7000,TJ,LU	2934.551 	3065.796 	3299.198 	3525.062 	3639.262 	3561.433 	3512.830 	3489.901 	3341.945 	3273.728 	3419.345 	3380.569 
A,FC_OTH_HH_E,E7000,TJ,LV	6976.800 	6379.200 	6393.600 	6418.800 	6289.200 	6332.400 	6454.800 	5963.306 	6012.299 	5937.775 	6303.661 	6465.568 
A,FC_OTH_HH_E,E7000,TJ,MD	: 	: 	: 	: 	: 	: 	: 	5889.600 	5911.200 	6015.600 	6228.000 	6570.000 
A,FC_OTH_HH_E,E7000,TJ,MK	11638.800 	12042.720 	11745.360 	11034.000 	10965.240 	10993.504 	11006.280 	11147.753 	10795.727 	11710.080 	12249.000 	11938.318 
A,FC_OTH_HH_E,E7000,TJ,MT	: 	: 	: 	: 	: 	2361.600 	2397.398 	2620.516 	2840.699 	3078.644 	3199.399 	3660.509 
A,FC_OTH_HH_E,E7000,TJ,NL	82778.400 	82954.800 	84107.984 	84099.452 	82185.498 	79854.998 	79159.133 	78519.445 	77727.733 	77737.846 	79075.357 	81916.913 
A,FC_OTH_HH_E,E7000,TJ,NO	143035.200 	129808.800 	137703.600 	140054.400 	132789.600 	138996.000 	143426.441 	144464.638 	145287.886 	143364.395 	142958.657 	143657.712 
A,FC_OTH_HH_E,E7000,TJ,PL	: 	: 	: 	: 	0.000 	101808.000 	104072.400 	105051.600 	105422.400 	105815.808 	108021.661 	110124.000 
A,FC_OTH_HH_E,E7000,TJ,PT	52279.200 	49507.200 	46432.800 	44330.400 	42894.000 	43106.400 	46702.800 	45324.000 	47566.800 	47602.800 	49161.600 	51400.800 
A,FC_OTH_HH_E,E7000,TJ,RO	: 	: 	: 	: 	: 	43540.207 	43440.095 	45348.012 	46007.579 	46743.426 	49031.222 	51279.170 
A,FC_OTH_HH_E,E7000,TJ,RS	52722.000 	52794.000 	52261.200 	50925.600 	49687.200 	50623.200 	50151.600 	49734.036 	48292.456 	48024.594 	49385.275 	49955.886 
A,FC_OTH_HH_E,E7000,TJ,SE	: 	: 	: 	: 	: 	154753.200 	165006.000 	162475.200 	162244.800 	158810.400 	153262.800 	166320.000 
A,FC_OTH_HH_E,E7000,TJ,SI	11588.540 	11560.486 	11444.504 	11623.284 	11251.534 	11538.112 	11736.000 	11977.002 	12124.130 	12307.896 	13082.807 	13689.259 
A,FC_OTH_HH_E,E7000,TJ,SK	: 	: 	: 	: 	: 	18126.000 	18349.200 	17704.800 	18342.000 	19630.800 	21146.400 	21484.800 
